date,EXPE stock,isPartial
2017-02-01,0,False
2017-02-02,29,False
2017-02-03,30,False
2017-02-04,0,False
2017-02-05,16,False
2017-02-06,14,False
2017-02-07,28,False
2017-02-08,0,False
2017-02-09,51,False
2017-02-10,52,False
2017-02-11,17,False
2017-02-12,0,False
2017-02-13,28,False
2017-02-14,0,False
2017-02-15,14,False
2017-02-16,100,False
2017-02-17,0,False
2017-02-18,0,False
2017-02-19,0,False
2017-02-20,0,False
2017-02-21,0,False
2017-02-22,28,False
2017-02-23,29,False
2017-02-24,15,False
2017-02-25,0,False
2017-02-26,0,False
2017-02-27,14,False
2017-02-28,28,False
