date,COST stock,isPartial
2017-06-01,78,False
2017-06-02,63,False
2017-06-03,32,False
2017-06-04,37,False
2017-06-05,71,False
2017-06-06,66,False
2017-06-07,58,False
2017-06-08,45,False
2017-06-09,55,False
2017-06-10,41,False
2017-06-11,38,False
2017-06-12,47,False
2017-06-13,52,False
2017-06-14,49,False
2017-06-15,51,False
2017-06-16,83,False
2017-06-17,45,False
2017-06-18,44,False
2017-06-19,100,False
2017-06-20,69,False
2017-06-21,72,False
2017-06-22,76,False
2017-06-23,75,False
2017-06-24,41,False
2017-06-25,38,False
2017-06-26,86,False
2017-06-27,67,False
2017-06-28,50,False
2017-06-29,54,False
2017-06-30,59,False
