date,TXN stock,isPartial
2013-12-01,45,False
2013-12-02,39,False
2013-12-03,0,False
2013-12-04,60,False
2013-12-05,80,False
2013-12-06,42,False
2013-12-07,48,False
2013-12-08,0,False
2013-12-09,39,False
2013-12-10,40,False
2013-12-11,40,False
2013-12-12,82,False
2013-12-13,43,False
2013-12-14,49,False
2013-12-15,0,False
2013-12-16,40,False
2013-12-17,62,False
2013-12-18,41,False
2013-12-19,63,False
2013-12-20,45,False
2013-12-21,100,False
2013-12-22,50,False
2013-12-23,90,False
2013-12-24,99,False
2013-12-25,0,False
2013-12-26,69,False
2013-12-27,45,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,44,False
2013-12-31,49,False
