date,MAT stock,isPartial
2014-07-01,37,False
2014-07-02,75,False
2014-07-03,77,False
2014-07-04,40,False
2014-07-05,46,False
2014-07-06,76,False
2014-07-07,38,False
2014-07-08,37,False
2014-07-09,49,False
2014-07-10,100,False
2014-07-11,78,False
2014-07-12,45,False
2014-07-13,0,False
2014-07-14,75,False
2014-07-15,37,False
2014-07-16,38,False
2014-07-17,63,False
2014-07-18,0,False
2014-07-19,46,False
2014-07-20,46,False
2014-07-21,0,False
2014-07-22,74,False
2014-07-23,38,False
2014-07-24,38,False
2014-07-25,0,False
2014-07-26,92,False
2014-07-27,0,False
2014-07-28,38,False
2014-07-29,63,False
2014-07-30,76,False
2014-07-31,63,False
