date,TXN stock,isPartial
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,48,False
2012-09-05,96,False
2012-09-06,0,False
2012-09-07,0,False
2012-09-08,0,False
2012-09-09,59,False
2012-09-10,0,False
2012-09-11,96,False
2012-09-12,47,False
2012-09-13,0,False
2012-09-14,50,False
2012-09-15,0,False
2012-09-16,58,False
2012-09-17,0,False
2012-09-18,0,False
2012-09-19,47,False
2012-09-20,0,False
2012-09-21,100,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,47,False
2012-09-25,0,False
2012-09-26,47,False
2012-09-27,0,False
2012-09-28,50,False
2012-09-29,0,False
2012-09-30,0,False
