date,MAT stock,isPartial
2016-12-01,37,False
2016-12-02,76,False
2016-12-03,28,False
2016-12-04,39,False
2016-12-05,88,False
2016-12-06,35,False
2016-12-07,24,False
2016-12-08,86,False
2016-12-09,0,False
2016-12-10,56,False
2016-12-11,27,False
2016-12-12,23,False
2016-12-13,35,False
2016-12-14,24,False
2016-12-15,86,False
2016-12-16,52,False
2016-12-17,29,False
2016-12-18,29,False
2016-12-19,100,False
2016-12-20,25,False
2016-12-21,26,False
2016-12-22,52,False
2016-12-23,54,False
2016-12-24,62,False
2016-12-25,0,False
2016-12-26,82,False
2016-12-27,51,False
2016-12-28,0,False
2016-12-29,52,False
2016-12-30,41,False
2016-12-31,0,False
