date,EBAY stock,isPartial
2014-04-01,87,False
2014-04-02,100,False
2014-04-03,60,False
2014-04-04,53,False
2014-04-05,67,False
2014-04-06,59,False
2014-04-07,72,False
2014-04-08,77,False
2014-04-09,67,False
2014-04-10,87,False
2014-04-11,81,False
2014-04-12,53,False
2014-04-13,45,False
2014-04-14,67,False
2014-04-15,65,False
2014-04-16,47,False
2014-04-17,77,False
2014-04-18,66,False
2014-04-19,59,False
2014-04-20,51,False
2014-04-21,68,False
2014-04-22,76,False
2014-04-23,66,False
2014-04-24,87,False
2014-04-25,71,False
2014-04-26,73,False
2014-04-27,68,False
2014-04-28,86,False
2014-04-29,92,False
2014-04-30,96,False
