date,COST stock,isPartial
2012-10-01,80,False
2012-10-02,72,False
2012-10-03,79,False
2012-10-04,73,False
2012-10-05,57,False
2012-10-06,52,False
2012-10-07,42,False
2012-10-08,81,False
2012-10-09,79,False
2012-10-10,70,False
2012-10-11,69,False
2012-10-12,58,False
2012-10-13,56,False
2012-10-14,58,False
2012-10-15,68,False
2012-10-16,92,False
2012-10-17,71,False
2012-10-18,69,False
2012-10-19,79,False
2012-10-20,68,False
2012-10-21,64,False
2012-10-22,65,False
2012-10-23,100,False
2012-10-24,61,False
2012-10-25,93,False
2012-10-26,61,False
2012-10-27,49,False
2012-10-28,43,False
2012-10-29,47,False
2012-10-30,86,False
2012-10-31,60,False
