date,TSLA stock,isPartial
2014-10-01,34,False
2014-10-02,53,False
2014-10-03,28,False
2014-10-04,15,False
2014-10-05,4,False
2014-10-06,36,False
2014-10-07,53,False
2014-10-08,36,False
2014-10-09,64,False
2014-10-10,100,False
2014-10-11,14,False
2014-10-12,11,False
2014-10-13,55,False
2014-10-14,49,False
2014-10-15,51,False
2014-10-16,44,False
2014-10-17,50,False
2014-10-18,8,False
2014-10-19,9,False
2014-10-20,22,False
2014-10-21,38,False
2014-10-22,40,False
2014-10-23,35,False
2014-10-24,42,False
2014-10-25,7,False
2014-10-26,9,False
2014-10-27,50,False
2014-10-28,52,False
2014-10-29,38,False
2014-10-30,43,False
2014-10-31,33,False
