date,BA stock,isPartial
2015-03-01,26,False
2015-03-02,73,False
2015-03-03,56,False
2015-03-04,45,False
2015-03-05,63,False
2015-03-06,89,False
2015-03-07,20,False
2015-03-08,13,False
2015-03-09,34,False
2015-03-10,45,False
2015-03-11,68,False
2015-03-12,57,False
2015-03-13,47,False
2015-03-14,27,False
2015-03-15,26,False
2015-03-16,57,False
2015-03-17,68,False
2015-03-18,74,False
2015-03-19,39,False
2015-03-20,70,False
2015-03-21,40,False
2015-03-22,13,False
2015-03-23,22,False
2015-03-24,39,False
2015-03-25,100,False
2015-03-26,46,False
2015-03-27,47,False
2015-03-28,14,False
2015-03-29,28,False
2015-03-30,85,False
2015-03-31,40,False
