date,EXPE stock,isPartial
2017-06-01,61,False
2017-06-02,63,False
2017-06-03,0,False
2017-06-04,69,False
2017-06-05,59,False
2017-06-06,58,False
2017-06-07,43,False
2017-06-08,29,False
2017-06-09,30,False
2017-06-10,0,False
2017-06-11,35,False
2017-06-12,0,False
2017-06-13,0,False
2017-06-14,59,False
2017-06-15,40,False
2017-06-16,31,False
2017-06-17,36,False
2017-06-18,0,False
2017-06-19,29,False
2017-06-20,28,False
2017-06-21,28,False
2017-06-22,100,False
2017-06-23,88,False
2017-06-24,35,False
2017-06-25,35,False
2017-06-26,45,False
2017-06-27,51,False
2017-06-28,41,False
2017-06-29,30,False
2017-06-30,32,False
