date,TWTR,isPartial
2013-09-01,34,False
2013-09-02,86,False
2013-09-03,69,False
2013-09-04,49,False
2013-09-05,21,False
2013-09-06,44,False
2013-09-07,76,False
2013-09-08,57,False
2013-09-09,35,False
2013-09-10,75,False
2013-09-11,27,False
2013-09-12,62,False
2013-09-13,43,False
2013-09-14,58,False
2013-09-15,48,False
2013-09-16,14,False
2013-09-17,14,False
2013-09-18,41,False
2013-09-19,55,False
2013-09-20,44,False
2013-09-21,25,False
2013-09-22,48,False
2013-09-23,55,False
2013-09-24,27,False
2013-09-25,41,False
2013-09-26,42,False
2013-09-27,51,False
2013-09-28,100,False
2013-09-29,57,False
2013-09-30,61,False
