date,ODP stock,isPartial
2018-08-01,29,False
2018-08-02,85,False
2018-08-03,61,False
2018-08-04,22,False
2018-08-05,0,False
2018-08-06,39,False
2018-08-07,75,False
2018-08-08,57,False
2018-08-09,29,False
2018-08-10,100,False
2018-08-11,22,False
2018-08-12,22,False
2018-08-13,49,False
2018-08-14,77,False
2018-08-15,59,False
2018-08-16,99,False
2018-08-17,60,False
2018-08-18,0,False
2018-08-19,23,False
2018-08-20,80,False
2018-08-21,39,False
2018-08-22,80,False
2018-08-23,60,False
2018-08-24,31,False
2018-08-25,0,False
2018-08-26,22,False
2018-08-27,57,False
2018-08-28,19,False
2018-08-29,38,False
2018-08-30,48,False
2018-08-31,20,False
