date,AMZN stock,isPartial
2012-06-01,28,False
2012-06-02,100,False
2012-06-03,33,False
2012-06-04,80,False
2012-06-05,40,False
2012-06-06,79,False
2012-06-07,55,False
2012-06-08,42,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,66,False
2012-06-12,0,False
2012-06-13,27,False
2012-06-14,27,False
2012-06-15,85,False
2012-06-16,34,False
2012-06-17,0,False
2012-06-18,53,False
2012-06-19,27,False
2012-06-20,27,False
2012-06-21,54,False
2012-06-22,56,False
2012-06-23,34,False
2012-06-24,0,False
2012-06-25,80,False
2012-06-26,26,False
2012-06-27,55,False
2012-06-28,27,False
2012-06-29,29,False
2012-06-30,0,False
