date,PEP stock,isPartial
2016-08-01,53,False
2016-08-02,40,False
2016-08-03,81,False
2016-08-04,27,False
2016-08-05,29,False
2016-08-06,49,False
2016-08-07,65,False
2016-08-08,68,False
2016-08-09,27,False
2016-08-10,69,False
2016-08-11,85,False
2016-08-12,58,False
2016-08-13,32,False
2016-08-14,65,False
2016-08-15,29,False
2016-08-16,57,False
2016-08-17,57,False
2016-08-18,100,False
2016-08-19,58,False
2016-08-20,0,False
2016-08-21,32,False
2016-08-22,28,False
2016-08-23,70,False
2016-08-24,41,False
2016-08-25,40,False
2016-08-26,42,False
2016-08-27,31,False
2016-08-28,30,False
2016-08-29,52,False
2016-08-30,26,False
2016-08-31,53,False
