date,MAT stock,isPartial
2012-07-01,33,False
2012-07-02,53,False
2012-07-03,40,False
2012-07-04,56,False
2012-07-05,28,False
2012-07-06,0,False
2012-07-07,34,False
2012-07-08,34,False
2012-07-09,0,False
2012-07-10,26,False
2012-07-11,0,False
2012-07-12,27,False
2012-07-13,29,False
2012-07-14,100,False
2012-07-15,33,False
2012-07-16,54,False
2012-07-17,27,False
2012-07-18,27,False
2012-07-19,27,False
2012-07-20,28,False
2012-07-21,0,False
2012-07-22,52,False
2012-07-23,54,False
2012-07-24,0,False
2012-07-25,27,False
2012-07-26,37,False
2012-07-27,43,False
2012-07-28,0,False
2012-07-29,0,False
2012-07-30,27,False
2012-07-31,0,False
