date,AMD stock,isPartial
2012-06-01,21,False
2012-06-02,37,False
2012-06-03,12,False
2012-06-04,20,False
2012-06-05,10,False
2012-06-06,49,False
2012-06-07,40,False
2012-06-08,62,False
2012-06-09,12,False
2012-06-10,24,False
2012-06-11,49,False
2012-06-12,29,False
2012-06-13,39,False
2012-06-14,100,False
2012-06-15,42,False
2012-06-16,0,False
2012-06-17,37,False
2012-06-18,38,False
2012-06-19,20,False
2012-06-20,40,False
2012-06-21,30,False
2012-06-22,52,False
2012-06-23,0,False
2012-06-24,0,False
2012-06-25,29,False
2012-06-26,88,False
2012-06-27,30,False
2012-06-28,30,False
2012-06-29,32,False
2012-06-30,13,False
