date,TWTR,isPartial
2013-02-01,52,False
2013-02-02,0,False
2013-02-03,29,False
2013-02-04,50,False
2013-02-05,50,False
2013-02-06,100,False
2013-02-07,26,False
2013-02-08,53,False
2013-02-09,30,False
2013-02-10,30,False
2013-02-11,26,False
2013-02-12,25,False
2013-02-13,0,False
2013-02-14,26,False
2013-02-15,0,False
2013-02-16,30,False
2013-02-17,30,False
2013-02-18,0,False
2013-02-19,0,False
2013-02-20,100,False
2013-02-21,50,False
2013-02-22,26,False
2013-02-23,29,False
2013-02-24,58,False
2013-02-25,24,False
2013-02-26,72,False
2013-02-27,0,False
2013-02-28,50,False
