date,DIS stock,isPartial
2014-08-01,35,False
2014-08-02,20,False
2014-08-03,20,False
2014-08-04,59,False
2014-08-05,41,False
2014-08-06,85,False
2014-08-07,36,False
2014-08-08,35,False
2014-08-09,0,False
2014-08-10,10,False
2014-08-11,66,False
2014-08-12,49,False
2014-08-13,100,False
2014-08-14,42,False
2014-08-15,63,False
2014-08-16,30,False
2014-08-17,20,False
2014-08-18,25,False
2014-08-19,17,False
2014-08-20,25,False
2014-08-21,66,False
2014-08-22,43,False
2014-08-23,39,False
2014-08-24,10,False
2014-08-25,57,False
2014-08-26,16,False
2014-08-27,56,False
2014-08-28,49,False
2014-08-29,43,False
2014-08-30,29,False
2014-08-31,29,False
