date,INTC stock,isPartial
2012-12-01,0,False
2012-12-02,0,False
2012-12-03,64,False
2012-12-04,13,False
2012-12-05,64,False
2012-12-06,53,False
2012-12-07,54,False
2012-12-08,0,False
2012-12-09,0,False
2012-12-10,0,False
2012-12-11,51,False
2012-12-12,26,False
2012-12-13,0,False
2012-12-14,13,False
2012-12-15,15,False
2012-12-16,0,False
2012-12-17,39,False
2012-12-18,52,False
2012-12-19,26,False
2012-12-20,80,False
2012-12-21,100,False
2012-12-22,48,False
2012-12-23,17,False
2012-12-24,16,False
2012-12-25,17,False
2012-12-26,44,False
2012-12-27,41,False
2012-12-28,43,False
2012-12-29,0,False
2012-12-30,16,False
2012-12-31,48,False
