date,GS stock,isPartial
2015-06-01,25,False
2015-06-02,74,False
2015-06-03,66,False
2015-06-04,52,False
2015-06-05,70,False
2015-06-06,45,False
2015-06-07,0,False
2015-06-08,82,False
2015-06-09,37,False
2015-06-10,41,False
2015-06-11,67,False
2015-06-12,92,False
2015-06-13,60,False
2015-06-14,29,False
2015-06-15,41,False
2015-06-16,57,False
2015-06-17,75,False
2015-06-18,50,False
2015-06-19,70,False
2015-06-20,30,False
2015-06-21,60,False
2015-06-22,49,False
2015-06-23,25,False
2015-06-24,38,False
2015-06-25,51,False
2015-06-26,35,False
2015-06-27,30,False
2015-06-28,30,False
2015-06-29,75,False
2015-06-30,100,False
