date,MAT stock,isPartial
2015-07-01,0,False
2015-07-02,29,False
2015-07-03,30,False
2015-07-04,69,False
2015-07-05,0,False
2015-07-06,28,False
2015-07-07,0,False
2015-07-08,42,False
2015-07-09,43,False
2015-07-10,59,False
2015-07-11,34,False
2015-07-12,0,False
2015-07-13,56,False
2015-07-14,0,False
2015-07-15,29,False
2015-07-16,43,False
2015-07-17,46,False
2015-07-18,37,False
2015-07-19,36,False
2015-07-20,89,False
2015-07-21,100,False
2015-07-22,85,False
2015-07-23,71,False
2015-07-24,88,False
2015-07-25,67,False
2015-07-26,34,False
2015-07-27,42,False
2015-07-28,55,False
2015-07-29,70,False
2015-07-30,57,False
2015-07-31,30,False
