date,PFE stock,isPartial
2015-11-01,11,False
2015-11-02,21,False
2015-11-03,36,False
2015-11-04,7,False
2015-11-05,30,False
2015-11-06,31,False
2015-11-07,8,False
2015-11-08,8,False
2015-11-09,20,False
2015-11-10,18,False
2015-11-11,9,False
2015-11-12,24,False
2015-11-13,17,False
2015-11-14,0,False
2015-11-15,5,False
2015-11-16,18,False
2015-11-17,39,False
2015-11-18,18,False
2015-11-19,40,False
2015-11-20,43,False
2015-11-21,19,False
2015-11-22,16,False
2015-11-23,100,False
2015-11-24,62,False
2015-11-25,48,False
2015-11-26,14,False
2015-11-27,27,False
2015-11-28,11,False
2015-11-29,8,False
2015-11-30,29,False
