date,MCD stock,isPartial
2017-03-01,92,False
2017-03-02,100,False
2017-03-03,53,False
2017-03-04,18,False
2017-03-05,9,False
2017-03-06,26,False
2017-03-07,26,False
2017-03-08,16,False
2017-03-09,27,False
2017-03-10,41,False
2017-03-11,14,False
2017-03-12,9,False
2017-03-13,18,False
2017-03-14,24,False
2017-03-15,48,False
2017-03-16,56,False
2017-03-17,12,False
2017-03-18,9,False
2017-03-19,13,False
2017-03-20,24,False
2017-03-21,39,False
2017-03-22,24,False
2017-03-23,60,False
2017-03-24,49,False
2017-03-25,9,False
2017-03-26,14,False
2017-03-27,47,False
2017-03-28,44,False
2017-03-29,28,False
2017-03-30,20,False
2017-03-31,62,False
