date,MCD stock,isPartial
2014-12-01,21,False
2014-12-02,49,False
2014-12-03,43,False
2014-12-04,43,False
2014-12-05,45,False
2014-12-06,0,False
2014-12-07,17,False
2014-12-08,87,False
2014-12-09,57,False
2014-12-10,100,False
2014-12-11,51,False
2014-12-12,53,False
2014-12-13,52,False
2014-12-14,26,False
2014-12-15,29,False
2014-12-16,72,False
2014-12-17,74,False
2014-12-18,83,False
2014-12-19,71,False
2014-12-20,36,False
2014-12-21,18,False
2014-12-22,23,False
2014-12-23,72,False
2014-12-24,53,False
2014-12-25,19,False
2014-12-26,51,False
2014-12-27,17,False
2014-12-28,17,False
2014-12-29,84,False
2014-12-30,47,False
2014-12-31,26,False
