date,KO stock,isPartial
2016-01-01,13,False
2016-01-02,12,False
2016-01-03,0,False
2016-01-04,40,False
2016-01-05,82,False
2016-01-06,51,False
2016-01-07,100,False
2016-01-08,72,False
2016-01-09,46,False
2016-01-10,22,False
2016-01-11,69,False
2016-01-12,69,False
2016-01-13,59,False
2016-01-14,39,False
2016-01-15,93,False
2016-01-16,0,False
2016-01-17,33,False
2016-01-18,30,False
2016-01-19,39,False
2016-01-20,40,False
2016-01-21,70,False
2016-01-22,62,False
2016-01-23,11,False
2016-01-24,23,False
2016-01-25,30,False
2016-01-26,30,False
2016-01-27,29,False
2016-01-28,70,False
2016-01-29,83,False
2016-01-30,0,False
2016-01-31,45,False
