date,AAPL stock,isPartial
2013-03-01,96,False
2013-03-02,40,False
2013-03-03,16,False
2013-03-04,88,False
2013-03-05,100,False
2013-03-06,95,False
2013-03-07,85,False
2013-03-08,86,False
2013-03-09,21,False
2013-03-10,26,False
2013-03-11,78,False
2013-03-12,73,False
2013-03-13,83,False
2013-03-14,78,False
2013-03-15,93,False
2013-03-16,43,False
2013-03-17,14,False
2013-03-18,99,False
2013-03-19,88,False
2013-03-20,74,False
2013-03-21,58,False
2013-03-22,70,False
2013-03-23,21,False
2013-03-24,13,False
2013-03-25,68,False
2013-03-26,82,False
2013-03-27,67,False
2013-03-28,72,False
2013-03-29,55,False
2013-03-30,22,False
2013-03-31,14,False
