date,KO stock,isPartial
2012-03-01,78,False
2012-03-02,53,False
2012-03-03,31,False
2012-03-04,0,False
2012-03-05,51,False
2012-03-06,24,False
2012-03-07,48,False
2012-03-08,37,False
2012-03-09,77,False
2012-03-10,0,False
2012-03-11,0,False
2012-03-12,36,False
2012-03-13,61,False
2012-03-14,74,False
2012-03-15,87,False
2012-03-16,65,False
2012-03-17,0,False
2012-03-18,0,False
2012-03-19,73,False
2012-03-20,61,False
2012-03-21,49,False
2012-03-22,25,False
2012-03-23,52,False
2012-03-24,61,False
2012-03-25,60,False
2012-03-26,36,False
2012-03-27,37,False
2012-03-28,62,False
2012-03-29,100,False
2012-03-30,79,False
2012-03-31,45,False
