date,AAPL stock,isPartial
2017-07-01,11,False
2017-07-02,10,False
2017-07-03,83,False
2017-07-04,47,False
2017-07-05,74,False
2017-07-06,76,False
2017-07-07,65,False
2017-07-08,17,False
2017-07-09,8,False
2017-07-10,74,False
2017-07-11,59,False
2017-07-12,74,False
2017-07-13,73,False
2017-07-14,73,False
2017-07-15,17,False
2017-07-16,13,False
2017-07-17,79,False
2017-07-18,87,False
2017-07-19,96,False
2017-07-20,73,False
2017-07-21,75,False
2017-07-22,19,False
2017-07-23,14,False
2017-07-24,70,False
2017-07-25,86,False
2017-07-26,81,False
2017-07-27,100,False
2017-07-28,78,False
2017-07-29,27,False
2017-07-30,11,False
2017-07-31,91,False
