date,COST stock,isPartial
2016-06-01,81,False
2016-06-02,70,False
2016-06-03,76,False
2016-06-04,44,False
2016-06-05,54,False
2016-06-06,84,False
2016-06-07,57,False
2016-06-08,66,False
2016-06-09,54,False
2016-06-10,49,False
2016-06-11,36,False
2016-06-12,41,False
2016-06-13,66,False
2016-06-14,43,False
2016-06-15,65,False
2016-06-16,60,False
2016-06-17,48,False
2016-06-18,63,False
2016-06-19,53,False
2016-06-20,54,False
2016-06-21,83,False
2016-06-22,76,False
2016-06-23,71,False
2016-06-24,100,False
2016-06-25,51,False
2016-06-26,52,False
2016-06-27,85,False
2016-06-28,64,False
2016-06-29,70,False
2016-06-30,65,False
