date,COST stock,isPartial
2015-04-01,70,False
2015-04-02,70,False
2015-04-03,76,False
2015-04-04,45,False
2015-04-05,55,False
2015-04-06,90,False
2015-04-07,94,False
2015-04-08,78,False
2015-04-09,88,False
2015-04-10,88,False
2015-04-11,63,False
2015-04-12,70,False
2015-04-13,87,False
2015-04-14,94,False
2015-04-15,100,False
2015-04-16,85,False
2015-04-17,77,False
2015-04-18,63,False
2015-04-19,59,False
2015-04-20,77,False
2015-04-21,76,False
2015-04-22,75,False
2015-04-23,84,False
2015-04-24,66,False
2015-04-25,46,False
2015-04-26,71,False
2015-04-27,90,False
2015-04-28,79,False
2015-04-29,82,False
2015-04-30,77,False
