date,ATVI stock,isPartial
2013-11-01,49,False
2013-11-02,36,False
2013-11-03,35,False
2013-11-04,59,False
2013-11-05,59,False
2013-11-06,29,False
2013-11-07,100,False
2013-11-08,31,False
2013-11-09,0,False
2013-11-10,0,False
2013-11-11,49,False
2013-11-12,59,False
2013-11-13,59,False
2013-11-14,45,False
2013-11-15,63,False
2013-11-16,35,False
2013-11-17,34,False
2013-11-18,29,False
2013-11-19,39,False
2013-11-20,44,False
2013-11-21,59,False
2013-11-22,31,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,29,False
2013-11-26,29,False
2013-11-27,29,False
2013-11-28,0,False
2013-11-29,94,False
2013-11-30,35,False
