date,MU stock,isPartial
2014-05-01,83,False
2014-05-02,68,False
2014-05-03,30,False
2014-05-04,29,False
2014-05-05,59,False
2014-05-06,66,False
2014-05-07,61,False
2014-05-08,87,False
2014-05-09,100,False
2014-05-10,25,False
2014-05-11,29,False
2014-05-12,61,False
2014-05-13,77,False
2014-05-14,50,False
2014-05-15,75,False
2014-05-16,47,False
2014-05-17,15,False
2014-05-18,45,False
2014-05-19,74,False
2014-05-20,58,False
2014-05-21,63,False
2014-05-22,59,False
2014-05-23,43,False
2014-05-24,22,False
2014-05-25,17,False
2014-05-26,28,False
2014-05-27,62,False
2014-05-28,59,False
2014-05-29,56,False
2014-05-30,67,False
2014-05-31,22,False
