date,GOOG stock,isPartial
2016-01-01,15,False
2016-01-02,10,False
2016-01-03,7,False
2016-01-04,50,False
2016-01-05,57,False
2016-01-06,36,False
2016-01-07,82,False
2016-01-08,60,False
2016-01-09,13,False
2016-01-10,23,False
2016-01-11,49,False
2016-01-12,57,False
2016-01-13,43,False
2016-01-14,55,False
2016-01-15,69,False
2016-01-16,7,False
2016-01-17,13,False
2016-01-18,3,False
2016-01-19,51,False
2016-01-20,81,False
2016-01-21,41,False
2016-01-22,39,False
2016-01-23,13,False
2016-01-24,10,False
2016-01-25,38,False
2016-01-26,61,False
2016-01-27,66,False
2016-01-28,100,False
2016-01-29,58,False
2016-01-30,27,False
2016-01-31,20,False
