date,GILD stock,isPartial
2017-08-01,31,False
2017-08-02,34,False
2017-08-03,31,False
2017-08-04,38,False
2017-08-05,10,False
2017-08-06,7,False
2017-08-07,30,False
2017-08-08,32,False
2017-08-09,25,False
2017-08-10,29,False
2017-08-11,25,False
2017-08-12,6,False
2017-08-13,3,False
2017-08-14,24,False
2017-08-15,30,False
2017-08-16,20,False
2017-08-17,21,False
2017-08-18,10,False
2017-08-19,8,False
2017-08-20,5,False
2017-08-21,14,False
2017-08-22,15,False
2017-08-23,24,False
2017-08-24,24,False
2017-08-25,18,False
2017-08-26,7,False
2017-08-27,8,False
2017-08-28,63,False
2017-08-29,34,False
2017-08-30,100,False
2017-08-31,85,False
