date,PEP stock,isPartial
2017-01-01,50,False
2017-01-02,28,False
2017-01-03,53,False
2017-01-04,73,False
2017-01-05,30,False
2017-01-06,89,False
2017-01-07,30,False
2017-01-08,0,False
2017-01-09,58,False
2017-01-10,45,False
2017-01-11,64,False
2017-01-12,65,False
2017-01-13,69,False
2017-01-14,52,False
2017-01-15,43,False
2017-01-16,19,False
2017-01-17,63,False
2017-01-18,95,False
2017-01-19,45,False
2017-01-20,72,False
2017-01-21,22,False
2017-01-22,43,False
2017-01-23,44,False
2017-01-24,70,False
2017-01-25,44,False
2017-01-26,57,False
2017-01-27,59,False
2017-01-28,22,False
2017-01-29,43,False
2017-01-30,100,False
2017-01-31,44,False
