date,MU stock,isPartial
2018-09-01,6,False
2018-09-02,5,False
2018-09-03,6,False
2018-09-04,28,False
2018-09-05,30,False
2018-09-06,57,False
2018-09-07,47,False
2018-09-08,12,False
2018-09-09,6,False
2018-09-10,34,False
2018-09-11,47,False
2018-09-12,50,False
2018-09-13,58,False
2018-09-14,50,False
2018-09-15,11,False
2018-09-16,5,False
2018-09-17,35,False
2018-09-18,41,False
2018-09-19,46,False
2018-09-20,100,False
2018-09-21,87,False
2018-09-22,11,False
2018-09-23,5,False
2018-09-24,39,False
2018-09-25,33,False
2018-09-26,28,False
2018-09-27,31,False
2018-09-28,26,False
2018-09-29,7,False
2018-09-30,4,False
