date,DIS stock,isPartial
2017-07-01,22,False
2017-07-02,15,False
2017-07-03,71,False
2017-07-04,13,False
2017-07-05,78,False
2017-07-06,77,False
2017-07-07,79,False
2017-07-08,30,False
2017-07-09,0,False
2017-07-10,68,False
2017-07-11,56,False
2017-07-12,56,False
2017-07-13,64,False
2017-07-14,39,False
2017-07-15,15,False
2017-07-16,22,False
2017-07-17,82,False
2017-07-18,75,False
2017-07-19,75,False
2017-07-20,82,False
2017-07-21,71,False
2017-07-22,29,False
2017-07-23,14,False
2017-07-24,49,False
2017-07-25,49,False
2017-07-26,61,False
2017-07-27,100,False
2017-07-28,84,False
2017-07-29,36,False
2017-07-30,7,False
2017-07-31,31,False
