date,EA stock,isPartial
2014-03-01,31,False
2014-03-02,23,False
2014-03-03,40,False
2014-03-04,54,False
2014-03-05,53,False
2014-03-06,53,False
2014-03-07,63,False
2014-03-08,39,False
2014-03-09,16,False
2014-03-10,47,False
2014-03-11,92,False
2014-03-12,66,False
2014-03-13,100,False
2014-03-14,84,False
2014-03-15,16,False
2014-03-16,38,False
2014-03-17,53,False
2014-03-18,86,False
2014-03-19,86,False
2014-03-20,94,False
2014-03-21,28,False
2014-03-22,16,False
2014-03-23,15,False
2014-03-24,33,False
2014-03-25,52,False
2014-03-26,72,False
2014-03-27,40,False
2014-03-28,28,False
2014-03-29,16,False
2014-03-30,31,False
2014-03-31,20,False
