date,MRVL stock,isPartial
2013-06-01,0,False
2013-06-02,48,False
2013-06-03,79,False
2013-06-04,40,False
2013-06-05,40,False
2013-06-06,41,False
2013-06-07,42,False
2013-06-08,0,False
2013-06-09,0,False
2013-06-10,0,False
2013-06-11,39,False
2013-06-12,41,False
2013-06-13,41,False
2013-06-14,87,False
2013-06-15,0,False
2013-06-16,50,False
2013-06-17,67,False
2013-06-18,0,False
2013-06-19,41,False
2013-06-20,41,False
2013-06-21,43,False
2013-06-22,0,False
2013-06-23,0,False
2013-06-24,40,False
2013-06-25,100,False
2013-06-26,41,False
2013-06-27,0,False
2013-06-28,43,False
2013-06-29,0,False
2013-06-30,0,False
