date,CTSH stock,isPartial
2018-12-01,20,False
2018-12-02,19,False
2018-12-03,78,False
2018-12-04,35,False
2018-12-05,17,False
2018-12-06,70,False
2018-12-07,100,False
2018-12-08,81,False
2018-12-09,20,False
2018-12-10,44,False
2018-12-11,78,False
2018-12-12,18,False
2018-12-13,45,False
2018-12-14,36,False
2018-12-15,21,False
2018-12-16,20,False
2018-12-17,74,False
2018-12-18,77,False
2018-12-19,64,False
2018-12-20,65,False
2018-12-21,78,False
2018-12-22,21,False
2018-12-23,21,False
2018-12-24,85,False
2018-12-25,45,False
2018-12-26,99,False
2018-12-27,47,False
2018-12-28,87,False
2018-12-29,20,False
2018-12-30,41,False
2018-12-31,62,False
