date,QCOM stock,isPartial
2016-04-01,17,False
2016-04-02,9,False
2016-04-03,9,False
2016-04-04,44,False
2016-04-05,24,False
2016-04-06,36,False
2016-04-07,52,False
2016-04-08,21,False
2016-04-09,28,False
2016-04-10,9,False
2016-04-11,36,False
2016-04-12,40,False
2016-04-13,20,False
2016-04-14,36,False
2016-04-15,38,False
2016-04-16,9,False
2016-04-17,0,False
2016-04-18,32,False
2016-04-19,32,False
2016-04-20,100,False
2016-04-21,77,False
2016-04-22,46,False
2016-04-23,9,False
2016-04-24,0,False
2016-04-25,39,False
2016-04-26,55,False
2016-04-27,32,False
2016-04-28,49,False
2016-04-29,38,False
2016-04-30,19,False
