date,PHG stock,isPartial
2013-06-01,0,False
2013-06-02,0,False
2013-06-03,0,False
2013-06-04,91,False
2013-06-05,91,False
2013-06-06,0,False
2013-06-07,0,False
2013-06-08,56,False
2013-06-09,0,False
2013-06-10,0,False
2013-06-11,0,False
2013-06-12,0,False
2013-06-13,0,False
2013-06-14,0,False
2013-06-15,56,False
2013-06-16,0,False
2013-06-17,0,False
2013-06-18,46,False
2013-06-19,0,False
2013-06-20,0,False
2013-06-21,100,False
2013-06-22,0,False
2013-06-23,0,False
2013-06-24,0,False
2013-06-25,0,False
2013-06-26,46,False
2013-06-27,46,False
2013-06-28,49,False
2013-06-29,0,False
2013-06-30,0,False
