date,ATVI stock,isPartial
2017-03-01,63,False
2017-03-02,24,False
2017-03-03,62,False
2017-03-04,23,False
2017-03-05,0,False
2017-03-06,77,False
2017-03-07,100,False
2017-03-08,60,False
2017-03-09,50,False
2017-03-10,37,False
2017-03-11,12,False
2017-03-12,0,False
2017-03-13,47,False
2017-03-14,45,False
2017-03-15,20,False
2017-03-16,46,False
2017-03-17,32,False
2017-03-18,23,False
2017-03-19,0,False
2017-03-20,35,False
2017-03-21,20,False
2017-03-22,40,False
2017-03-23,41,False
2017-03-24,37,False
2017-03-25,12,False
2017-03-26,12,False
2017-03-27,30,False
2017-03-28,41,False
2017-03-29,41,False
2017-03-30,41,False
2017-03-31,52,False
