date,SYMC stock,isPartial
2017-06-01,43,False
2017-06-02,18,False
2017-06-03,33,False
2017-06-04,20,False
2017-06-05,51,False
2017-06-06,100,False
2017-06-07,17,False
2017-06-08,50,False
2017-06-09,35,False
2017-06-10,20,False
2017-06-11,0,False
2017-06-12,33,False
2017-06-13,22,False
2017-06-14,40,False
2017-06-15,23,False
2017-06-16,35,False
2017-06-17,31,False
2017-06-18,0,False
2017-06-19,34,False
2017-06-20,38,False
2017-06-21,27,False
2017-06-22,17,False
2017-06-23,43,False
2017-06-24,20,False
2017-06-25,30,False
2017-06-26,23,False
2017-06-27,52,False
2017-06-28,23,False
2017-06-29,26,False
2017-06-30,30,False
