date,KO stock,isPartial
2018-02-01,30,False
2018-02-02,43,False
2018-02-03,27,False
2018-02-04,0,False
2018-02-05,38,False
2018-02-06,55,False
2018-02-07,53,False
2018-02-08,57,False
2018-02-09,49,False
2018-02-10,10,False
2018-02-11,14,False
2018-02-12,42,False
2018-02-13,42,False
2018-02-14,33,False
2018-02-15,51,False
2018-02-16,100,False
2018-02-17,24,False
2018-02-18,10,False
2018-02-19,23,False
2018-02-20,47,False
2018-02-21,59,False
2018-02-22,44,False
2018-02-23,40,False
2018-02-24,7,False
2018-02-25,10,False
2018-02-26,49,False
2018-02-27,34,False
2018-02-28,43,False
