date,INTC stock,isPartial
2017-02-01,43,False
2017-02-02,45,False
2017-02-03,31,False
2017-02-04,11,False
2017-02-05,0,False
2017-02-06,43,False
2017-02-07,78,False
2017-02-08,24,False
2017-02-09,84,False
2017-02-10,51,False
2017-02-11,23,False
2017-02-12,6,False
2017-02-13,58,False
2017-02-14,58,False
2017-02-15,60,False
2017-02-16,79,False
2017-02-17,34,False
2017-02-18,11,False
2017-02-19,11,False
2017-02-20,5,False
2017-02-21,34,False
2017-02-22,73,False
2017-02-23,100,False
2017-02-24,66,False
2017-02-25,28,False
2017-02-26,0,False
2017-02-27,53,False
2017-02-28,43,False
