date,AMZN stock,isPartial
2012-08-01,53,False
2012-08-02,21,False
2012-08-03,100,False
2012-08-04,0,False
2012-08-05,0,False
2012-08-06,42,False
2012-08-07,21,False
2012-08-08,42,False
2012-08-09,64,False
2012-08-10,22,False
2012-08-11,0,False
2012-08-12,26,False
2012-08-13,42,False
2012-08-14,21,False
2012-08-15,22,False
2012-08-16,64,False
2012-08-17,78,False
2012-08-18,53,False
2012-08-19,0,False
2012-08-20,21,False
2012-08-21,63,False
2012-08-22,42,False
2012-08-23,0,False
2012-08-24,33,False
2012-08-25,0,False
2012-08-26,49,False
2012-08-27,40,False
2012-08-28,71,False
2012-08-29,51,False
2012-08-30,73,False
2012-08-31,32,False
