date,TSLA stock,isPartial
2017-08-01,46,False
2017-08-02,100,False
2017-08-03,97,False
2017-08-04,51,False
2017-08-05,11,False
2017-08-06,13,False
2017-08-07,52,False
2017-08-08,44,False
2017-08-09,44,False
2017-08-10,40,False
2017-08-11,44,False
2017-08-12,14,False
2017-08-13,7,False
2017-08-14,30,False
2017-08-15,34,False
2017-08-16,32,False
2017-08-17,33,False
2017-08-18,33,False
2017-08-19,11,False
2017-08-20,5,False
2017-08-21,27,False
2017-08-22,35,False
2017-08-23,30,False
2017-08-24,38,False
2017-08-25,27,False
2017-08-26,11,False
2017-08-27,4,False
2017-08-28,26,False
2017-08-29,24,False
2017-08-30,26,False
2017-08-31,27,False
