date,INTC stock,isPartial
2014-05-01,55,False
2014-05-02,8,False
2014-05-03,9,False
2014-05-04,0,False
2014-05-05,35,False
2014-05-06,19,False
2014-05-07,23,False
2014-05-08,55,False
2014-05-09,49,False
2014-05-10,23,False
2014-05-11,9,False
2014-05-12,53,False
2014-05-13,38,False
2014-05-14,8,False
2014-05-15,27,False
2014-05-16,48,False
2014-05-17,9,False
2014-05-18,14,False
2014-05-19,42,False
2014-05-20,27,False
2014-05-21,17,False
2014-05-22,34,False
2014-05-23,22,False
2014-05-24,16,False
2014-05-25,10,False
2014-05-26,17,False
2014-05-27,33,False
2014-05-28,71,False
2014-05-29,100,False
2014-05-30,36,False
2014-05-31,21,False
