date,GS stock,isPartial
2015-08-01,22,False
2015-08-02,22,False
2015-08-03,24,False
2015-08-04,55,False
2015-08-05,56,False
2015-08-06,56,False
2015-08-07,19,False
2015-08-08,22,False
2015-08-09,22,False
2015-08-10,18,False
2015-08-11,43,False
2015-08-12,31,False
2015-08-13,74,False
2015-08-14,57,False
2015-08-15,44,False
2015-08-16,32,False
2015-08-17,37,False
2015-08-18,24,False
2015-08-19,55,False
2015-08-20,37,False
2015-08-21,69,False
2015-08-22,33,False
2015-08-23,42,False
2015-08-24,100,False
2015-08-25,83,False
2015-08-26,84,False
2015-08-27,60,False
2015-08-28,38,False
2015-08-29,32,False
2015-08-30,42,False
2015-08-31,35,False
