date,CTSH stock,isPartial
2018-06-01,53,False
2018-06-02,34,False
2018-06-03,22,False
2018-06-04,44,False
2018-06-05,100,False
2018-06-06,57,False
2018-06-07,51,False
2018-06-08,73,False
2018-06-09,37,False
2018-06-10,44,False
2018-06-11,43,False
2018-06-12,87,False
2018-06-13,94,False
2018-06-14,68,False
2018-06-15,73,False
2018-06-16,0,False
2018-06-17,22,False
2018-06-18,81,False
2018-06-19,37,False
2018-06-20,38,False
2018-06-21,44,False
2018-06-22,33,False
2018-06-23,22,False
2018-06-24,22,False
2018-06-25,68,False
2018-06-26,56,False
2018-06-27,50,False
2018-06-28,63,False
2018-06-29,40,False
2018-06-30,0,False
