date,MU stock,isPartial
2015-09-01,25,False
2015-09-02,76,False
2015-09-03,30,False
2015-09-04,57,False
2015-09-05,25,False
2015-09-06,0,False
2015-09-07,13,False
2015-09-08,33,False
2015-09-09,100,False
2015-09-10,34,False
2015-09-11,35,False
2015-09-12,24,False
2015-09-13,9,False
2015-09-14,53,False
2015-09-15,37,False
2015-09-16,57,False
2015-09-17,21,False
2015-09-18,56,False
2015-09-19,20,False
2015-09-20,10,False
2015-09-21,45,False
2015-09-22,45,False
2015-09-23,58,False
2015-09-24,34,False
2015-09-25,35,False
2015-09-26,20,False
2015-09-27,10,False
2015-09-28,40,False
2015-09-29,69,False
2015-09-30,53,False
