date,WDC stock,isPartial
2014-04-01,50,False
2014-04-02,38,False
2014-04-03,25,False
2014-04-04,39,False
2014-04-05,30,False
2014-04-06,29,False
2014-04-07,25,False
2014-04-08,0,False
2014-04-09,25,False
2014-04-10,26,False
2014-04-11,27,False
2014-04-12,0,False
2014-04-13,0,False
2014-04-14,38,False
2014-04-15,26,False
2014-04-16,52,False
2014-04-17,27,False
2014-04-18,0,False
2014-04-19,31,False
2014-04-20,32,False
2014-04-21,27,False
2014-04-22,100,False
2014-04-23,50,False
2014-04-24,0,False
2014-04-25,40,False
2014-04-26,30,False
2014-04-27,0,False
2014-04-28,63,False
2014-04-29,74,False
2014-04-30,52,False
