date,HD stock,isPartial
2017-05-01,48,False
2017-05-02,49,False
2017-05-03,46,False
2017-05-04,31,False
2017-05-05,38,False
2017-05-06,24,False
2017-05-07,18,False
2017-05-08,55,False
2017-05-09,60,False
2017-05-10,54,False
2017-05-11,37,False
2017-05-12,55,False
2017-05-13,17,False
2017-05-14,23,False
2017-05-15,53,False
2017-05-16,100,False
2017-05-17,75,False
2017-05-18,32,False
2017-05-19,54,False
2017-05-20,29,False
2017-05-21,23,False
2017-05-22,37,False
2017-05-23,37,False
2017-05-24,55,False
2017-05-25,46,False
2017-05-26,41,False
2017-05-27,16,False
2017-05-28,23,False
2017-05-29,20,False
2017-05-30,42,False
2017-05-31,41,False
