date,GS stock,isPartial
2017-09-01,85,False
2017-09-02,26,False
2017-09-03,17,False
2017-09-04,30,False
2017-09-05,93,False
2017-09-06,79,False
2017-09-07,51,False
2017-09-08,83,False
2017-09-09,33,False
2017-09-10,16,False
2017-09-11,100,False
2017-09-12,85,False
2017-09-13,92,False
2017-09-14,65,False
2017-09-15,89,False
2017-09-16,33,False
2017-09-17,49,False
2017-09-18,64,False
2017-09-19,92,False
2017-09-20,93,False
2017-09-21,44,False
2017-09-22,45,False
2017-09-23,33,False
2017-09-24,16,False
2017-09-25,50,False
2017-09-26,42,False
2017-09-27,100,False
2017-09-28,57,False
2017-09-29,68,False
2017-09-30,51,False
