date,KO stock,isPartial
2013-06-01,30,False
2013-06-02,22,False
2013-06-03,92,False
2013-06-04,55,False
2013-06-05,86,False
2013-06-06,25,False
2013-06-07,64,False
2013-06-08,30,False
2013-06-09,30,False
2013-06-10,48,False
2013-06-11,24,False
2013-06-12,49,False
2013-06-13,62,False
2013-06-14,52,False
2013-06-15,15,False
2013-06-16,45,False
2013-06-17,12,False
2013-06-18,49,False
2013-06-19,43,False
2013-06-20,100,False
2013-06-21,53,False
2013-06-22,0,False
2013-06-23,15,False
2013-06-24,62,False
2013-06-25,61,False
2013-06-26,31,False
2013-06-27,88,False
2013-06-28,53,False
2013-06-29,46,False
2013-06-30,0,False
