date,TWTR stock,isPartial
2017-09-01,61,False
2017-09-02,14,False
2017-09-03,14,False
2017-09-04,13,False
2017-09-05,56,False
2017-09-06,77,False
2017-09-07,58,False
2017-09-08,78,False
2017-09-09,7,False
2017-09-10,20,False
2017-09-11,59,False
2017-09-12,89,False
2017-09-13,86,False
2017-09-14,100,False
2017-09-15,81,False
2017-09-16,18,False
2017-09-17,20,False
2017-09-18,69,False
2017-09-19,92,False
2017-09-20,96,False
2017-09-21,48,False
2017-09-22,50,False
2017-09-23,14,False
2017-09-24,14,False
2017-09-25,41,False
2017-09-26,62,False
2017-09-27,80,False
2017-09-28,76,False
2017-09-29,82,False
2017-09-30,21,False
