date,TXN stock,isPartial
2013-09-01,0,False
2013-09-02,25,False
2013-09-03,37,False
2013-09-04,100,False
2013-09-05,0,False
2013-09-06,26,False
2013-09-07,0,False
2013-09-08,0,False
2013-09-09,25,False
2013-09-10,0,False
2013-09-11,37,False
2013-09-12,50,False
2013-09-13,77,False
2013-09-14,29,False
2013-09-15,28,False
2013-09-16,49,False
2013-09-17,24,False
2013-09-18,0,False
2013-09-19,0,False
2013-09-20,26,False
2013-09-21,30,False
2013-09-22,0,False
2013-09-23,0,False
2013-09-24,24,False
2013-09-25,49,False
2013-09-26,25,False
2013-09-27,52,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,49,False
