date,AAPL stock,isPartial
2015-05-01,100,False
2015-05-02,24,False
2015-05-03,17,False
2015-05-04,68,False
2015-05-05,69,False
2015-05-06,63,False
2015-05-07,65,False
2015-05-08,74,False
2015-05-09,12,False
2015-05-10,12,False
2015-05-11,61,False
2015-05-12,66,False
2015-05-13,41,False
2015-05-14,58,False
2015-05-15,44,False
2015-05-16,12,False
2015-05-17,7,False
2015-05-18,55,False
2015-05-19,60,False
2015-05-20,52,False
2015-05-21,46,False
2015-05-22,61,False
2015-05-23,27,False
2015-05-24,12,False
2015-05-25,13,False
2015-05-26,60,False
2015-05-27,56,False
2015-05-28,46,False
2015-05-29,53,False
2015-05-30,16,False
2015-05-31,9,False
