date,INTC stock,isPartial
2013-06-01,28,False
2013-06-02,28,False
2013-06-03,92,False
2013-06-04,93,False
2013-06-05,64,False
2013-06-06,59,False
2013-06-07,96,False
2013-06-08,28,False
2013-06-09,14,False
2013-06-10,40,False
2013-06-11,80,False
2013-06-12,35,False
2013-06-13,76,False
2013-06-14,74,False
2013-06-15,29,False
2013-06-16,14,False
2013-06-17,29,False
2013-06-18,64,False
2013-06-19,94,False
2013-06-20,100,False
2013-06-21,68,False
2013-06-22,14,False
2013-06-23,14,False
2013-06-24,75,False
2013-06-25,58,False
2013-06-26,23,False
2013-06-27,47,False
2013-06-28,62,False
2013-06-29,14,False
2013-06-30,28,False
