date,MU stock,isPartial
2017-08-01,92,False
2017-08-02,88,False
2017-08-03,94,False
2017-08-04,76,False
2017-08-05,19,False
2017-08-06,12,False
2017-08-07,92,False
2017-08-08,100,False
2017-08-09,79,False
2017-08-10,81,False
2017-08-11,68,False
2017-08-12,12,False
2017-08-13,13,False
2017-08-14,68,False
2017-08-15,78,False
2017-08-16,80,False
2017-08-17,83,False
2017-08-18,98,False
2017-08-19,15,False
2017-08-20,11,False
2017-08-21,74,False
2017-08-22,75,False
2017-08-23,66,False
2017-08-24,66,False
2017-08-25,47,False
2017-08-26,24,False
2017-08-27,6,False
2017-08-28,68,False
2017-08-29,90,False
2017-08-30,70,False
2017-08-31,77,False
