date,BIDU,isPartial
2017-01-01,77,False
2017-01-02,98,False
2017-01-03,100,False
2017-01-04,85,False
2017-01-05,71,False
2017-01-06,54,False
2017-01-07,71,False
2017-01-08,61,False
2017-01-09,100,False
2017-01-10,86,False
2017-01-11,91,False
2017-01-12,76,False
2017-01-13,79,False
2017-01-14,62,False
2017-01-15,75,False
2017-01-16,94,False
2017-01-17,86,False
2017-01-18,68,False
2017-01-19,76,False
2017-01-20,82,False
2017-01-21,58,False
2017-01-22,56,False
2017-01-23,78,False
2017-01-24,78,False
2017-01-25,84,False
2017-01-26,84,False
2017-01-27,75,False
2017-01-28,63,False
2017-01-29,59,False
2017-01-30,78,False
2017-01-31,80,False
