date,PEP stock,isPartial
2015-12-01,62,False
2015-12-02,35,False
2015-12-03,43,False
2015-12-04,59,False
2015-12-05,50,False
2015-12-06,0,False
2015-12-07,78,False
2015-12-08,84,False
2015-12-09,71,False
2015-12-10,14,False
2015-12-11,15,False
2015-12-12,42,False
2015-12-13,49,False
2015-12-14,35,False
2015-12-15,29,False
2015-12-16,22,False
2015-12-17,59,False
2015-12-18,47,False
2015-12-19,18,False
2015-12-20,0,False
2015-12-21,68,False
2015-12-22,38,False
2015-12-23,40,False
2015-12-24,54,False
2015-12-25,29,False
2015-12-26,27,False
2015-12-27,26,False
2015-12-28,23,False
2015-12-29,100,False
2015-12-30,79,False
2015-12-31,52,False
